ID	DOCULECT	CONCEPT	VALUE	FORM	TOKENS	NOTE	COGIDS	COGID	MORPHEMES	ALIGNMENT
921	Yahuna	Ash from ambaúva leaves as an additive to coca	gaā́pimóa	gaā́pimóa	g a aː p i m ɔ a		89	626		g a aː p i m ɔ a
1014	Desano	Aunt	be̥ámo	be̥ámo	b ɨ a m ɔ		91	687		b ɨ a m ɔ
1015	Yahuna	Aunt	kā́ko	kā́ko	k aː k ɔ		92	688		k aː k ɔ
1016	Koretu	Aunt	pā́ko	pā́ko	p aː k ɔ		92	688		p aː k ɔ
679	Desano	Axe	kumé	kumé	k u m e		95	458		k u m e - - - -
680	Yupua	Axe	kū́mi	kū́mi	k uː m i		95	458		k uː m i - - - -
681	Yahuna	Axe	kōmé̠a	kōmé̠a	k ɔː m ɛ a		95	458		k ɔː m ɛ - - - a
682	Koretu	Axe	komé̠tako	komé̠tako	k ɔ m ɛ t a k ɔ		95	458		k ɔ m ɛ t a k ɔ
1775	Desano	Açaí	mihí 	mihí	m i h i		100	1147		m i h i
1776	Yupua	Açaí	píidika	píidika	p i i d i k a		102	1148		p i - i d i k a
1777	Yahuna	Açaí	pipirika	pipirika	p i p i ɾ i k a		102	1148		p i p i ɾ i k a
1778	Koretu	Açaí	hihī́re̥	hihī́re̥	h i h iː ɾ ɨ		101	1149		h i h iː ɾ ɨ
1785	Yahuna	Bacaba	yomimákalaka	yomimákalaka	j ɔ m i m a k a ɺ a k a		105	1153		j ɔ m i m a k a ɺ a k a
224	Desano	Back	tsũ(g)ũpínũ(g)õã	tsũũpínũõã	t s ũ ũ p i n ũ ɔ̃ ã		107	150		t s ũ ũ p i n ũ ɔ̃ ã
225	Yupua	Back	pe̥(e̥)lá	pe̥lá	p ɨ ɺ a		110	151		- - p ɨ ɺ a -
226	Yahuna	Back	uaḥé̠a	uaḥé̠a	u a ħ ɛ a		109	152		u a ħ ɛ a
227	Koretu	Back	siḥe̠te̠hī́re̥	siḥe̠te̠hī́re̥	s i ħ ɛ t ɛ h iː ɾ ɨ		108	153		s i ħ ɛ t ɛ h iː ɾ ɨ
228	Yupua	Back	pe̥lág(e)	pe̥lág	p ɨ ɺ a g		110	151		- - p ɨ ɺ a g
229	Yupua	Back	yape̥lág(e)	yape̥lág	j a p ɨ ɺ a g		110	151		j a p ɨ ɺ a g
103	Desano	Back of the hand	mohṓpama	mohṓpama	m ɔ h ɔː p a m a		114	69		m ɔ h ɔː p a m a
104	Yahuna	Back of the hand	pitapé̠ta	pitapé̠ta	p i t a p ɛ t a		115	70		p i t a p ɛ t a
1940	Desano	Bad	yē̠pu̠nī́ka	yē̠pu̠nī́ka	j ɛː p ʊ n iː k a		117	1254		j ɛː p ʊ n iː k a
1941	Yupua	Bad	ue̥(e̥)lí	ue̥lí	u ɨ ɺ i		120	1255		u ɨ ɺ i
1942	Yahuna	Bad	ī́nehīt(š)ia	ī́nehītia	iː n e h iː t i a		119	1256		iː n e h iː t i a
1943	Koretu	Bad	lā́roe̠	lā́roe̠	ɺ aː ɾ ɔ ɛ		118	1257		ɺ aː ɾ ɔ ɛ
1944	Desano	Bad	yē̠pu̠lī́ka	yē̠pu̠lī́ka	j ɛː p ʊ ɺ iː k a		117	1254		j ɛː p ʊ ɺ iː k a
903	Yahuna	Bag	te̠alíue̠koa	te̠alíue̠koa	t ɛ a ɺ i u ɛ k ɔ a		123	615		t ɛ a ɺ i u ɛ k ɔ a
1740	Desano	Bamboo	uaá	uaá	u a a		125	1127		u a - a
1741	Yahuna	Bamboo	uālá	uālá	u aː ɺ a		125	1127		u aː ɺ a
1742	Yahuna	Bamboo	iúa	iúa	i u a		125	1127		i u - a
1669	Desano	Banana	ohó	ohó	ɔ h ɔ		129	1086		ɔ h ɔ
1670	Yupua	Banana	abótiga	abótiga	a b ɔ t i g a		132	1087		a b ɔ t i g a
1671	Yahuna	Banana	óyagaga	óyagaga	ɔ j a g a g a		131	1088		ɔ j a g a g a
1672	Koretu	Banana	haúioake̠re̥	haúioake̠re̥	h a u i ɔ a k ɛ ɾ ɨ		130	1089		h a u i ɔ a k ɛ ɾ ɨ
1557	Desano	Barata	tse̥liname	tse̥liname	t s ɨ ɺ i n a m e		134	1010		t s ɨ ɺ i n a m e
1558	Yupua	Barata	ā́lau̯a	ā́lau̯a	aː ɺ a w a		135	1011		- aː ɺ - - a w a
1559	Yahuna	Barata	ā́logaga	ā́logaga	aː ɺ ɔ g a g a		135	1011		- aː ɺ ɔ g a g a
1560	Koretu	Barata	hā́raua	hā́raua	h aː ɾ a u a		135	1011		h aː ɾ a - u - a
723	Yahuna	Barb of the tip	soāgá	soāgá	s ɔ aː g a		139	485		s ɔ aː g a
1615	Desano	Bark	yuxké̥gaxtsīro	yuxké̥gaxtsīro	j u x k ɨ g a x t s iː ɾ ɔ		141	1051		j u x k ɨ g a x t s iː ɾ ɔ
1616	Yupua	Bark	yābugát(š)i	yābugáti	j aː b u g a t i		143	1052		j aː b u g a t - i
1617	Yahuna	Bark	yapuáḥe̠a	yapuáḥe̠a	j a p u a ħ ɛ a		143	1052		j a p u - a ħ ɛ a
1618	Koretu	Bark	tōke̥rasḗ̠re̥	tōke̥rasḗ̠re̥	t ɔː k ɨ ɾ a s ɛː ɾ ɨ		142	1053		t ɔː k ɨ ɾ a s ɛː ɾ ɨ
1113	Desano	Barrigudo monkey	tsé(i)ge	tsége	t s e g e		146	746		t s e g e
1114	Yupua	Barrigudo monkey	sḗ̠na	sḗ̠na	s ɛː n a		147	747		s ɛː n a
1115	Koretu	Barrigudo monkey	sḗ̠ra	sḗ̠ra	s ɛː ɾ a		147	747		s ɛː ɾ a
1118	Desano	Bat	ōyó	ōyó	ɔː j ɔ		150	750		- ɔː - - j ɔ
1119	Yupua	Bat	ṓdye̥	ṓdye̥	ɔː d j ɨ		150	750		- ɔː d - j ɨ
1120	Yahuna	Bat	ṓdyo	ṓdyo	ɔː d j ɔ		150	750		- ɔː d - j ɔ
1121	Koretu	Bat	hóio̯	hóio̯	h ɔ j o		150	750		h ɔ - - j o
1122	Koretu	Bat	hóiyo	hóiyo	h ɔ i j ɔ		150	750		h ɔ - i j ɔ
507	Desano	Beach	ēmíparo	ēmíparo	eː m i p a ɾ ɔ		156	336		eː m i p a ɾ ɔ
508	Yupua	Beach	pu̠(o)lé̥	pu̠lé̥	p ʊ ɺ ɨ		156	336		- - - p ʊ ɺ ɨ
509	Yahuna	Beach	pōtía	pōtía	p ɔː t i a		158	337		p ɔː t i a
510	Koretu	Beach	hṓnto	hṓnto	h ɔː n t ɔ		157	338		h ɔː n t ɔ
511	Yahuna	Beach	pōt(s)ía	pōtía	p ɔː t i a		158	337		p ɔː t i a
324	Desano	Beak	uex̯kóiṅinu	uex̯kóiṅinu	u e ç k ɔ i ŋ i n u		162	218		u e ç k ɔ i ŋ i n u
325	Yahuna	Beak	nahe̠ṓme̠a	nahe̠ṓme̠a	n a h ɛ ɔː m ɛ a		163	219		n a h ɛ ɔː m ɛ a
551	Yahuna	Beams that sit on the paxiúbalatten on the wall and support the roof	koālapái(a)	koālapái	k ɔ aː ɺ a p a i		165	366		k ɔ aː ɺ a p a i
552	Yahuna	Beams that sit on the paxiúbalatten on the wall and support the roof	kóālapái(e)	kóālapái	k ɔ aː ɺ a p a i		165	366		k ɔ aː ɺ a p a i
75	Desano	Beard	dix̯sípoali	dix̯sípoali	d i ç s i p ɔ a ɺ i		168	50		d i ç s i p ɔ a ɺ i
76	Yupua	Beard	dix̯sipoa	dix̯sipoa	d i ç s i p ɔ a		168	50		d i ç s i p ɔ - - a
77	Yahuna	Beard	dihe̠táya	dihe̠táya	d i h ɛ t a j a		170	51		d i h ɛ t a j a
78	Koretu	Beard	sigoi̯tagiáḥoiri	sigoi̯tagiáḥoiri	s i g ɔ j t a g i a ħ ɔ i ɾ i		169	52		s i g ɔ j t a g i a ħ ɔ i ɾ i
79	Yahuna	Beard	lihe̠táya	lihe̠táya	ɺ i h ɛ t a j a		170	51		ɺ i h ɛ t a j a
80	Koretu	Beard	goi̯takiáḥoiri	goi̯takiáḥoiri	g ɔ j t a k i a ħ ɔ i ɾ i		169	52		- - g ɔ j t a k i a ħ ɔ i ɾ i
1525	Desano	Bee	momḗ̠me̥la	momḗ̠me̥la	m ɔ m ɛː m ɨ ɺ a		175	991		m ɔ - - m ɛː m ɨ ɺ a
1526	Yupua	Bee	uáimúmi	uáimúmi	u a i m u m i		175	991		- u a i m u m - - i
1527	Yahuna	Bee	mapáka	mapáka	m a p a k a		176	992		m a p a k a
1528	Koretu	Bee	mū́mire̥	mū́mire̥	m uː m i ɾ ɨ		175	991		m uː - - m - - i ɾ ɨ
2040	Desano	Behind the house	wiipé̥le̥pe̥	wiipé̥le̥pe̥	w i i p ɨ ɺ ɨ p ɨ		180	1309		w i i p ɨ ɺ ɨ p ɨ
212	Desano	Belly	pā́ru	pā́ru	p aː ɾ u		182	143		p aː ɾ u
213	Yupua	Belly	tuxtúlu	tuxtúlu	t u x t u ɺ u		185	144		- - t u x t u ɺ u
214	Yahuna	Belly	ye̠me̠á	ye̠me̠á	j ɛ m ɛ a		184	145		j ɛ m ɛ a
215	Koretu	Belly	síhake̠ke̥	síhake̠ke̥	s i h a k ɛ k ɨ		183	146		s i h a k ɛ k ɨ
216	Yupua	Belly	yatuxtúlu	yatuxtúlu	j a t u x t u ɺ u		185	144		j a t u x t u ɺ u
217	Yupua	Belly	yadu(x)túru	yadutúru	j a d u t u ɾ u		185	144		j a d u - t u ɾ u
904	Yahuna	Big bag	mamiyimí	mamiyimí	m a m i j i m i		189	616		m a m i j i m i
1550	Desano	Big blue butterfly	uatópōro 	uatópōro	u a t ɔ p ɔː ɾ ɔ		191	1003		u a t ɔ p ɔː ɾ ɔ
1551	Yahuna	Big blue butterfly	pālopigá	pālopigá	p aː ɺ ɔ p i g a		192	1004		p aː ɺ ɔ p i g a
623	Desano	Big calabash	kóatsuru	kóatsuru	k ɔ a t s u ɾ u		194	415		k ɔ a t s u ɾ u
624	Yupua	Big calabash	kóa	kóa	k ɔ a		197	416		k ɔ a
625	Yahuna	Big calabash	pé̠takoa	pé̠takoa	p ɛ t a k ɔ a		196	417		p ɛ t a k ɔ a
626	Koretu	Big calabash	kṓrokia	kṓrokia	k ɔː ɾ ɔ k i a		195	418		k ɔː ɾ ɔ k i a
1059	Desano	Big cigar	ōlēró	ōlēró	ɔː ɺ eː ɾ ɔ		199	714		ɔː ɺ eː ɾ ɔ
1060	Desano	Big cigar	ōlēló	ōlēló	ɔː ɺ eː ɺ ɔ		199	714		ɔː ɺ eː ɺ ɔ
901	Yahuna	Big flute pipe	kahíoaka	kahíoaka	k a h i ɔ a k a		202	613		k a h i ɔ a k a
1372	Desano	Big owl	gá	gá	g a		204	899		g a
1373	Yahuna	Big owl	pukupúkuliga	pukupúkuliga	p u k u p u k u ɺ i g a		205	900		p u k u p u k u ɺ i g a
891	Desano	Big signal drum	tóatole	tóatole	t ɔ a t ɔ ɺ e		207	604		t ɔ a t ɔ ɺ e
892	Yahuna	Big signal drum	yapu(u)tásie	yaputásie	j a p u t a s i e		208	605		j a p u t a s i e
772	Desano	Big trap	ā́lubu	ā́lubu	aː ɺ u b u		210	520		aː ɺ u b u
773	Yahuna	Big trap	nikópika	nikópika	n i k ɔ p i k a		211	521		n i k ɔ p i k a
1472	Desano	Big water snake	díaōlero	díaōlero	d i a ɔː ɺ e ɾ ɔ		213	962		d i a ɔː ɺ e ɾ ɔ
1473	Yupua	Big water snake	pī́nu	pī́nu	p iː n u		216	963		p iː n u
1474	Yahuna	Big water snake	ã̄nyã́pakeaka	ã̄nyã́pakeaka	ãː n j ã p a k e a k a		215	964		ãː n j ã p a k e a k a
1475	Koretu	Big water snake	ãyẽ́hāke̥	ãyẽ́hāke̥	ã j ẽ h aː k ɨ		214	965		ã j ẽ h aː k ɨ
1461	Desano	Big-headed amazon river turtle	pē̠yó	pē̠yó	p ɛː j ɔ		218	953		p ɛː j ɔ
1328	Yahuna	Bird	uānataí(a)	uānataí	u aː n a t a i		220	869		u aː n a t a i
1237	Desano	Bird (= passarinho)	minimã(g)ẽ 	minimãẽ	m i n i m ã ẽ		222	812		m i n i m ã ẽ
1238	Yupua	Bird (= passarinho)	mīrá	mīrá	m iː ɾ a		225	813		m iː ɾ a
1239	Yahuna	Bird (= passarinho)	ui(d)yága	uiyága	u i j a g a		224	814		u i j a g a
1240	Koretu	Bird (= passarinho)	uaíhia	uaíhia	u a i h i a		223	815		u a i h i a
1956	Desano	Black	nyī́nimi	nyī́nimi	n j iː n i m i		227	1262		n j iː n i m i
1957	Yupua	Black	(n)yī́(d)ya	yī́ya	j iː j a		229	1263		j iː - j a
1958	Yahuna	Black	né̠ya	né̠ya	n ɛ j a		229	1263		n ɛ - j a
1959	Koretu	Black	tó(o)pile̠	tópile̠	t ɔ p i ɺ ɛ		228	1264		t ɔ p i ɺ ɛ
1960	Yupua	Black	(n)yī́	yī́	j iː		229	1263		- - - j iː
1961	Yahuna	Black	né̠iya	né̠iya	n ɛ i j a		229	1263		n ɛ i j a
838	Desano	Black seeds that are always associated with this quartz jewelry	bī́ka	bī́ka	b iː k a		234	565		b iː k a
839	Yahuna	Black seeds that are always associated with this quartz jewelry	kanyíríka	kanyíríka	k a n j i ɾ i k a		235	566		k a n j i ɾ i k a
274	Desano	Blood	di	di	d i		237	182		d i - - -
275	Yupua	Blood	yadí	yadí	j a d i		239	183		j a d i
276	Yahuna	Blood	diué̠a	diué̠a	d i u ɛ a		237	182		d i u ɛ a
277	Koretu	Blood	líē̠ri	líē̠ri	ɺ i ɛː ɾ i		238	184		ɺ i ɛː ɾ i
1632	Desano	Blossom	gṓli	gṓli	g ɔː ɺ i		242	1064		g ɔː ɺ i
1633	Yupua	Blossom	góo	góo	g ɔ ɔ		242	1064		g ɔ - ɔ
1634	Yahuna	Blossom	yapuōliká	yapuōliká	j a p u ɔː ɺ i k a		244	1065		j a p u ɔː ɺ i k a
1635	Koretu	Blossom	te̠tā́re̥	te̠tā́re̥	t ɛ t aː ɾ ɨ		243	1066		t ɛ t aː ɾ ɨ
2087	Yupua	Blow the flute	yasḗ̠bo puhúai̯e̥	yasḗ̠bo_puhúai̯e̥	j a s ɛː b ɔ + p u h u a j ɨ		247 248	1343		j a s ɛː b ɔ + p u h u a j ɨ
736	Desano	Blowgun	buxhū́lu	buxhū́lu	b u x h uː ɺ u		250	497		b u x h uː ɺ u
737	Yupua	Blowgun	puhúlu	puhúlu	p u h u ɺ u		250	497		p u - h u ɺ u
738	Yahuna	Blowgun	pū́puaga	pū́puaga	p uː p u a g a		252	498		p uː p u a g a
739	Koretu	Blowgun	ḥé̥ḥoio	ḥé̥ḥoio	ħ ɨ ħ ɔ i ɔ		251	499		ħ ɨ ħ ɔ i ɔ
740	Desano	Blowgun	buxhū́ru	buxhū́ru	b u x h uː ɾ u		250	497		b u x h uː ɾ u
741	Yahuna	Blowgun	pū́puoga	pū́puoga	p uː p u ɔ g a		252	498		p uː p u ɔ g a
742	Desano	Blowgun	buḥū́ru	buḥū́ru	b u ħ uː ɾ u		250	497		b u - ħ uː ɾ u
743	Desano	Blowpipe arrow	uáxkali	uáxkali	u a x k a ɺ i		258	500		- u a x k a ɺ i
744	Yupua	Blowpipe arrow	ua(x)ká	uaká	u a k a		258	500		- u a - k - - a
745	Yahuna	Blowpipe arrow	póakaga	póakaga	p ɔ a k a g a		258	500		p ɔ a - k a g a
746	Koretu	Blowpipe arrow	he̥ḥóākia	he̥ḥóākia	h ɨ ħ ɔ aː k i a		259	501		h ɨ ħ ɔ aː k i a
1973	Desano	Blue	ya(a)tsā́li	yatsā́li	j a t s aː ɺ i		263	1272		j a t s aː ɺ - - i
1974	Yupua	Blue	tsé̥me̥oa	tsé̥me̥oa	t s ɨ m ɨ ɔ a		264	1273		t s ɨ - m ɨ - - ɔ a
1975	Yahuna	Blue	hi(i)míane̠í	himíane̠í	h i m i a n ɛ i		264	1273		- h i - m i a n ɛ i
1976	Koretu	Blue	te̥mé̥ne̠	te̥mé̥ne̠	t ɨ m ɨ n ɛ		264	1273		t - ɨ - m ɨ - n - ɛ
1977	Desano	Blue	ya(a)tsā́liye̠	yatsā́liye̠	j a t s aː ɺ i j ɛ		263	1272		j a t s aː ɺ i j ɛ
1978	Yahuna	Blue	hī'mía	hī'mía	h iː ʔ m i a		264	1273		- h iː ʔ m i - - - a
1248	Yupua	Blue macaw	mahapṓ(g)ua	mahapṓua	m a h a p ɔː u a		271	820		m a h a p ɔː u a
1249	Koretu	Blue macaw	makiátāre̥	makiátāre̥	m a k i a t aː ɾ ɨ		270	821		m a k i a t aː ɾ ɨ
1476	Desano	Boa	maxkápinu	maxkápinu	m a x k a p i n u		273	966		m a x k a p i n u
176	Desano	Body	dexpé̥	dexpé̥	d e x p ɨ		275	120		d e x p - - - - ɨ
177	Yupua	Body	yadúḥe̥	yadúḥe̥	j a d u ħ ɨ		277	121		j a d u ħ ɨ
178	Yahuna	Body	dipau̯íya	dipau̯íya	d i p a w i j a		275	120		d i - p a w i j a
179	Koretu	Body	siḥī́re	siḥī́re	s i ħ iː ɾ e		276	122		s i ħ iː ɾ e
180	Yahuna	Body	dipau̯ía	dipau̯ía	d i p a w i a		275	120		d i - p a w i - a
270	Desano	Bone	goá	goá	g ɔ a		281	179		g ɔ a
271	Yupua	Bone	ya(g)(n)úe	yaúe	j a u e		283	180		j a u e
272	Yahuna	Bone	ōá	ōá	ɔː a		281	179		- ɔː a
273	Koretu	Bone	sikoā́ri	sikoā́ri	s i k ɔ aː ɾ i		282	181		s i k ɔ aː ɾ i
678	Yahuna	Bone spoon used to take coca	taā́pipái(e)	taā́pipái	t a aː p i p a i		286	457		t a aː p i p a i
704	Desano	Bow	buiríbe̠ro	buiríbe̠ro	b u i ɾ i b ɛ ɾ ɔ		288	473		b u i ɾ i b ɛ ɾ ɔ
705	Yupua	Bow	patupá(h)i	patupái	p a t u p a i		288	473		p a - t u p a - i
706	Yahuna	Bow	te̠mupái(a)	te̠mupái	t ɛ m u p a i		289	474		t ɛ m u p a i -
707	Koretu	Bow	pā́tola	pā́tola	p aː t ɔ ɺ a		288	473		p aː - - - t ɔ ɺ a
708	Yahuna	Bow	te̠mupáy(e)	te̠mupáy	t ɛ m u p a j		289	474		t ɛ m u p a - j
652	Yupua	Bowl for coca	gaxpipáxtsula	gaxpipáxtsula	g a x p i p a x t s u ɺ a		294	434		g a x p i p a x t s u ɺ a
709	Desano	Bowstring	buirikano	buirikano	b u i ɾ i k a n ɔ		296	475		b u i ɾ i k a n ɔ
976	Desano	Boy	mámala	mámala	m a m a ɺ a		298	656		m a m a ɺ a
977	Yupua	Boy	siī́ṅgee̥	siī́ṅgee̥	s i iː ŋ g e ɨ		300	657		s i iː ŋ g e ɨ
978	Yahuna	Boy	mē̠ní	mē̠ní	m ɛː n i		299	658		m ɛː n i
979	Yupua	Boy	(t)siī́ṅgee̥	siī́ṅgee̥	s i iː ŋ g e ɨ		300	657		s i iː ŋ g e ɨ
806	Yahuna	Bracelets made of raffia (men's costume)	hu'tšía	hu'tšía	h u ʔ tʃ i a		303	543		h u ʔ - - - tʃ i a
807	Yahuna	Bracelets made of raffia (men's costume)	hihohut(š)ía	hihohutía	h i h ɔ h u t i a		303	543		h i h ɔ h u t i a
859	Yahuna	Braid of the mask suit	lupué̠me̥oka	lupué̠me̥oka	ɺ u p u ɛ m ɨ ɔ k a		306	580		ɺ u p u ɛ m ɨ ɔ k a
860	Yahuna	Braid of the mask suit	dupué̠me̥oka	dupué̠me̥oka	d u p u ɛ m ɨ ɔ k a		306	580		d u p u ɛ m ɨ ɔ k a
613	Desano	Braided tube (tipiti) for squeezing the manioc dough	uaxtíke̠ru	uaxtíke̠ru	u a x t i k ɛ ɾ u		309	409		u a x t i k ɛ ɾ u
614	Yupua	Braided tube (tipiti) for squeezing the manioc dough	pī́nu	pī́nu	p iː n u		311	410		p iː n u
615	Yahuna	Braided tube (tipiti) for squeezing the manioc dough	ã̄nyã́pakeaka	ã̄nyã́pakeaka	ãː n j ã p a k e a k a		310	411		ãː n j ã p a k e a k a
616	Koretu	Braided tube (tipiti) for squeezing the manioc dough	ãyã́ḥāke̥	ãyã́ḥāke̥	ã j ã ħ aː k ɨ		310	411		ã - j ã ħ aː k - - - ɨ
1613	Desano	Branch	yuxké̥de̥xpé̥	yuxké̥de̥xpé̥	j u x k ɨ d ɨ x p ɨ		314	1049		j u x k ɨ d ɨ x p ɨ
